Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Abbey Road,51.531952,0.003723,DLR,#00A4A7,8.542047756,,,,,,,
Acton Town,51.5025,-0.278126,District,#00782A,11.30270408,,,,,,,
Acton Town 2,51.5025,-0.278126,Piccadilly,#003688,11.30270408,,,,,,,
Aldgate,51.51394,-0.07537,Circle,#FFD300,2.787583783,,,,,,,
Aldgate 2,51.51394,-0.07537,Metropolitation,#9B0056,2.787583783,,,,,,,
Aldgate East,51.51514,-0.07178,District,#00782A,3.047296449,,,,,,,
Aldgate East 2,51.51514,-0.07178,Hammersmith & City,#F3A9BB,3.047296449,,,,,,,
All Saints,51.510301,-0.012832,DLR,#00A4A7,7.110745596,,,,,Central Lat,,51.512092
Alperton,51.54097,-0.30061,Piccadilly,#003688,13.19950401,,,,,Central Long,,-0.115543
Angel,51.53253,-0.10579,Northern,#000000,2.370662991,,,,,,,
Archway,51.56536,-0.13474,Northern,#000000,6.070112086,,,,,,,
Arnos Grove,51.61625,-0.13355,Piccadilly,#003688,11.64853267,,,,,,,
Arsenal,51.55847,-0.10561,Piccadilly,#003688,5.202561661,,,,,,,
Baker Street,51.52265,-0.15704,Bakerloo,#B36305,3.102079798,,,,,,,
Baker Street 2,51.52265,-0.15704,Circle,#FFD300,3.102079798,,,,,,,
Baker Street 3,51.52265,-0.15704,Hammersmith & City,#F3A9BB,3.102079798,,,,,,,
Baker Street 4,51.52265,-0.15704,Jubilee,#A0A5A9,3.102079798,,,,,,,
Baker Street 5,51.52265,-0.15704,Metropolitation,#9B0056,3.102079798,,,,,,,
Balham,51.44344113,-0.152945844,Northern,#000000,8.061138877,,,,,,,
Bank,51.5134047,-0.08905843,Central,#E32017,1.838564841,,,,,,,
Bank 2,51.5134047,-0.08905843,DLR,#00A4A7,1.838564841,,,,,,,
Bank 3,51.5134047,-0.08905843,Northern,#000000,1.838564841,,,,,,,
Bank 4,51.5134047,-0.08905843,Waterloo & City,#95CDBA,1.838564841,,,,,,,
Barbican,51.520865,-0.097758,Circle,#FFD300,1.57038299,,,,,,,
Barbican 2,51.520865,-0.097758,Hammersmith & City,#F3A9BB,1.57038299,,,,,,,
Barbican 3,51.520865,-0.097758,Metropolitation,#9B0056,1.57038299,,,,,,,
Barking,51.54079,0.08018,District,#00782A,13.91111737,,,,,,,
Barking 2,51.54079,0.08018,Hammersmith & City,#F3A9BB,13.91111737,,,,,,,
Barkingside,51.58543,0.08854,Central,#E32017,16.29840485,,,,,,,
Barons Court,51.490281,-0.21434,District,#00782A,7.255917654,,,,,,,
Barons Court 2,51.490281,-0.21434,Piccadilly,#003688,7.255917654,,,,,,,
