Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Abbey Road,51.531952,0.003723,DLR,Teal,8.542047756,,,,,,,
Acton Central,51.50883531,-0.263033174,Overground,Orange,10.21341501,,,,,,,
Acton Town,51.5025,-0.278126,District,Green,11.30270408,,,,,,,
Acton Town,51.5025,-0.278126,Piccadilly,Navy,11.30270408,,,,,,,
Aldgate,51.51394,-0.07537,Circle,Yellow,2.787583783,,,,,,,
Aldgate,51.51394,-0.07537,Metropolitation,Purple,2.787583783,,,,,,,
Aldgate East,51.51514,-0.07178,District,Green,3.047296449,,,,,,,
Aldgate East,51.51514,-0.07178,Hammersmith & City,Pink,3.047296449,,,,,Central Lat,,51.512092
All Saints,51.510301,-0.012832,DLR,Teal,7.110745596,,,,,Central Long,,-0.115543
Alperton,51.54097,-0.30061,Piccadilly,Navy,13.19950401,,,,,,,
Anerley,51.412151,-0.065886,Overground,Orange,11.63321905,N,,,,,,
Angel,51.53253,-0.10579,Northern,Black,2.370662991,,,,,,,
Archway,51.56536,-0.13474,Northern,Black,6.070112086,,,,,,,
Arnos Grove,51.61625,-0.13355,Piccadilly,Navy,11.64853267,,,,,,,
Arsenal,51.55847,-0.10561,Piccadilly,Navy,5.202561661,,,,,,,
Baker Street,51.52265,-0.15704,Bakerloo,Brown,3.102079798,,,,,,,
Baker Street,51.52265,-0.15704,Circle,Yellow,3.102079798,,,,,,,
Baker Street,51.52265,-0.15704,Hammersmith & City,Pink,3.102079798,,,,,,,
Baker Street,51.52265,-0.15704,Jubilee,Grey,3.102079798,,,,,,,
Baker Street,51.52265,-0.15704,Metropolitation,Purple,3.102079798,,,,,,,
Balham,51.44344113,-0.152945844,Northern,Black,8.061138877,,,,,,,
Bank,51.5134047,-0.08905843,Central,Red,1.838564841,,,,,,,
Bank,51.5134047,-0.08905843,DLR,Teal,1.838564841,,,,,,,
Bank,51.5134047,-0.08905843,Northern,Black,1.838564841,,,,,,,
Bank,51.5134047,-0.08905843,Waterloo & City,Mint,1.838564841,,,,,,,
Barbican,51.520865,-0.097758,Circle,Yellow,1.57038299,,,,,,,
Barbican,51.520865,-0.097758,Hammersmith & City,Pink,1.57038299,,,,,,,
Barbican,51.520865,-0.097758,Metropolitation,Purple,1.57038299,,,,,,,
Barking,51.54079,0.08018,District,Green,13.91111737,,,,,,,
Barking,51.54079,0.08018,Hammersmith & City,Pink,13.91111737,,,,,,,
Barking,51.54079,0.08018,Overground,Orange,13.91111737,,,,,,,
Barkingside,51.58543,0.08854,Central,Red,16.29840485,,,,,,,
Barons Court,51.490281,-0.21434,District,Green,7.255917654,,,,,,,
Barons Court,51.490281,-0.21434,Piccadilly,Navy,7.255917654,,,,,,,
Bayswater,51.51224,-0.187569,Circle,Yellow,4.984369485,,,,,,,
Bayswater,51.51224,-0.187569,District,Green,4.984369485,,,,,,,
Beckton,51.514411,0.06164,DLR,Teal,12.2638322,,,,,,,
Beckton Park,51.508758,0.054778,DLR,Teal,11.79282843,,,,,,,
Becontree,51.54029,0.1262,District,Green,17.01532474,,,,,,,
Belsize Park,51.55036,-0.16465,Northern,Black,5.44477566,,,,,,,
Bermondsey,51.49813,-0.0635,Jubilee,Grey,3.922363584,,,,,,,
Bethnal Green,51.523916,-0.059568,Overground,Orange,4.090159294,,,,,,,
Bethnal Green,51.52718,-0.05504,Central,Red,4.50991387,,,,,,,
Blackfriars,51.5114403,-0.1041905,Circle,Yellow,0.788957531,,,,,,,
Blackfriars,51.5114403,-0.1041905,District,Green,0.788957531,,,,,,,
Blackhorse Road,51.58698,-0.04104,Overground,Orange,9.791827083,N,,,,,,
Blackhorse Road,51.58698,-0.04104,Victoria,Blue,9.791827083,,,,,,,
Blackwall,51.507903,-0.007438,DLR,Teal,7.495922757,,,,,,,
Bond Street,51.51461,-0.14897,Central,Red,2.330038305,,,,,,,
Bond Street,51.51461,-0.14897,Jubilee,Grey,2.330038305,,,,,,,
Borough,51.50095,-0.09446,Northern,Black,1.914190032,,,,,,,
Boston Manor,51.495371,-0.325573,Piccadilly,Navy,14.65559788,,,,,,,
Bounds Green,51.607,-0.12418,Piccadilly,Navy,10.57016502,,,,,,,
Bow Church,51.5289,-0.021,DLR,Teal,6.803124744,,,,,,,
Bow Road,51.52709,-0.02482,District,Green,6.494945813,,,,,,,
Bow Road,51.52709,-0.02482,Hammersmith & City,Pink,6.494945813,,,,,,,
Brent Cross,51.57693,-0.21414,Northern,Black,9.923095462,,,,,,,
Brixton,51.46239,-0.115421,Victoria,Blue,5.526616699,,,,,,,
Brockley,51.464647,-0.037537,Overground,Orange,7.550039096,,,,,,,
Bromley-by-Bow,51.52466,-0.01282,District,Green,7.243750399,,,,,,,
Bromley-by-Bow,51.52466,-0.01282,Hammersmith & City,Pink,7.243750399,,,,,,,
Brondesbury,51.54505,-0.20297,Overground,Orange,7.071640018,,,,,,,
Brondesbury Park,51.5406,-0.21093,Overground,Orange,7.320807544,,,,,,,
Bruce Grove,51.593958,-0.069867,Overground,Orange,9.635315572,N,,,,,,
Buckhurst Hill,51.62611,0.04705,Central,Red,16.94174582,,,,,,,
Burnt Oak,51.603,-0.26427,Northern,Black,14.41874623,,,,,,,
Bush Hill Park,51.641517,-0.069221,Overground,Orange,14.7431008,N,,,,,,
Bushey,51.64575,-0.385321,Overground,Orange,23.84108513,N,,,,,,
Caledonian Road,51.5485,-0.11802,Piccadilly,Navy,4.052009297,,,,,,,
Caledonian Road & Barnesbury,51.54326,-0.11544,Overground,Orange,3.465730798,,,,,,,
Cambridge Heath,51.531971,-0.057279,Overground,Orange,4.597381928,N,,,,,,
Camden Road,51.54192,-0.13981,Overground,Orange,3.717383541,,,,,,,
Camden Town,51.5393,-0.14316,Northern,Black,3.578173234,,,,,,,
Canada Water,51.49787,-0.04967,Jubilee,Grey,4.825736781,,,,,,,
Canada Water,51.49787,-0.04967,Overground,Orange,4.825736781,,,,,,,
Canary Wharf,51.505946,-0.020493,DLR,Teal,6.613507433,,,,,,,
Canary Wharf,51.50362,-0.01987,Jubilee,Grey,6.688065694,,,,,,,
Canning Town,51.51388,0.008876,DLR,Teal,8.612181546,,,,,,,
Canning Town,51.51388,0.008876,Jubilee,Grey,8.612181546,,,,,,,
Cannon Street,51.51141,-0.09047,Circle,Yellow,1.736773718,,,,,,,
Cannon Street,51.51141,-0.09047,District,Green,1.736773718,,,,,,,
Canonbury,51.54822,-0.09632,Overground,Orange,4.231609625,,,,,,,
Canons Park,51.6081,-0.29487,Jubilee,Grey,16.3599198,,,,,,,
Carpenders Park,51.62835,-0.385939,Overground,Orange,22.72352364,N,,,,,,
Chalk Farm,51.5439,-0.15384,Northern,Black,4.419095808,,,,,,,
Chancery Lane,51.51836,-0.11115,Central,Red,0.760376967,,,,,,,
Charing Cross,51.507108,-0.122963,Bakerloo,Brown,0.75552817,,,,,,,
Charing Cross,51.507108,-0.122963,Northern,Black,0.75552817,,,,,,,
Cheshunt,51.702875,-0.02396,Overground,Orange,22.13677121,N,,,,,,
Chigwell,51.61795,0.07511,Central,Red,17.66973194,,,,,,,
Chingford,51.633085,0.009897,Overground,Orange,16.0049814,N,,,,,,
Chiswick Park,51.49466,-0.26866,District,Green,10.77384437,,,,,,,
Clapham Common,51.46156,-0.13802,Northern,Black,5.83045328,,,,,,,
Clapham High Street,51.465479,-0.132522,Overground,Orange,5.314774088,N,,,,,,
Clapham Junction,51.464187,-0.170293,Overground,Orange,6.537961043,N,,,,,,
Clapham North,51.46522,-0.1295,Northern,Black,5.30075776,,,,,,,
Clapham South,51.45292257,-0.147562148,Northern,Black,6.942897911,,,,,,,
Clapton,51.561642,-0.057025,Overground,Orange,6.836523464,N,,,,,,
Cockfosters,51.65117,-0.14811,Piccadilly,Navy,15.62762678,,,,,,,
Colindale,51.59556,-0.24996,Northern,Black,13.1342475,,,,,,,
Colliers Wood,51.41823649,-0.17800983,Northern,Black,11.29782472,,,,,,,
Covent Garden,51.51308,-0.12427,Piccadilly,Navy,0.613831375,,,,,,,
Crossharbour,51.495086,-0.014543,DLR,Teal,7.241955599,,,,,,,
Crouch Hill,51.5713,-0.117149,Overground,Orange,6.584565999,N,,,,,,
Croxley,51.64733268,-0.441479115,Metropolitation,Purple,27.08100136,,,,,,,
Crystal Palace,51.418107,-0.07261,Overground,Orange,10.86561355,N,,,,,,
Custom House,51.509731,0.026013,DLR,Teal,9.799742283,,,,,,,
Cutty Sark,51.481713,-0.010811,DLR,Teal,7.998413785,,,,,,,
Cyprus,51.50836,0.06399,DLR,Teal,12.431495,,,,,,,
Dagenham East,51.54396,0.16439,District,Green,19.68670437,,,,,,,
Dagenham Heathway,51.54173,0.14543,District,Green,18.35232003,,,,,,,
Dalston Junction,51.546114,-0.075138,Overground,Orange,4.703620281,N,,,,,,
Dalston Kingsland,51.54832,-0.07879,Overground,Orange,4.76355167,,,,,,,
Debden,51.64535,0.08364,Central,Red,20.22376946,,,,,,,
Denmark Hill,51.468201,-0.089361,Overground,Orange,5.206228624,N,,,,,,
Deptford Bridge,51.478016,-0.022496,DLR,Teal,7.473249419,,,,,,,
Devons Road,51.522274,-0.01708,DLR,Teal,6.906516311,,,,,,,
Dollis Hill,51.5525,-0.23884,Jubilee,Grey,9.639811744,,,,,,,
Ealing Broadway,51.51482,-0.30118,Central,Red,12.8496635,,,,,,,
Ealing Broadway,51.51482,-0.30118,District,Green,12.8496635,,,,,,,
Ealing Common,51.50997,-0.28825,District,Green,11.95429194,,,,,,,
Ealing Common,51.50997,-0.28825,Piccadilly,Navy,11.95429194,,,,,,,
Earl's Court,51.491521,-0.193906,District,Green,5.886688936,,,,,,,
Earl's Court,51.491521,-0.193906,Piccadilly,Navy,5.886688936,,,,,,,
East Acton,51.51753,-0.24827,Central,Red,9.204321563,,,,,,,
